"863","http://pic.btr.lenovo.com.cn","502 Bad Gateway","nginx/1.6.2","获取失败","502","43.255.226.68","2020年9月24日 04:27"
"862","http://lccrm.lenovo.com.cn","登录","获取失败","获取失败","200","43.255.226.17","2020年9月24日 04:27"
"861","https://priv-update.lenovo.com.cn","获取失败","Tengine","获取失败","403","112.45.115.118","2020年9月24日 04:26"
"860","http://api.lenovo.com.cn","获取失败","nginx","获取失败","200","43.255.226.57","2020年9月24日 04:26"
"859","http://openlenovo.mbgstore.lenovo.com.cn","获取失败","获取失败","获取失败","200","39.103.35.140","2020年9月24日 04:25"
"858","http://static.dd.lenovo.com.cn","获取失败","Tengine","获取失败","403","112.19.0.215","2020年9月24日 04:25"
"857","http://yggj.lenovo.com.cn","系统切换迁移公告","Microsoft-IIS/7.0","ASP.NET","200","146.196.114.97","2020年9月24日 04:24"
"856","http://jingyinghuixcx.lenovo.com.cn","503 Service Temporarily Unavailable","nginx","获取失败","503","47.92.84.12","2020年9月24日 04:24"
"855","https://ssm-static.gcc.lenovo.com.cn","获取失败","Tengine","获取失败","403","112.19.0.234","2020年9月24日 04:24"
"854","http://dlx.lenovo.com.cn","系统切换迁移公告","Microsoft-IIS/7.0","ASP.NET","200","146.196.114.97","2020年9月24日 04:24"
"853","http://storefront.lenovo.com.cn","店面建设管理系统","Microsoft-IIS/8.5","ASP.NET","200","43.255.226.197","2020年9月24日 04:24"
"852","https://supportuat.lenovo.com.cn","联想服务与支持","Microsoft-IIS/10.0","ASP.NET","200","146.196.114.7","2020年9月24日 04:23"
"851","http://dsp.mbgcdn.lenovo.com.cn","获取失败","获取失败","获取失败","200","39.103.13.33","2020年9月24日 04:23"
"850","http://epack.lenovo.com.cn","获取失败","Microsoft-IIS/10.0","ASP.NET","200","43.255.226.135","2020年9月24日 04:23"
"849","http://info.lenovo.com.cn","403 - 禁止访问: 访问被拒绝。","Microsoft-IIS/8.5","ASP.NET","403","43.255.226.106","2020年9月24日 04:23"
"848","http://pr3-yx.mbgcdn.lenovo.com.cn","404 Not Found","获取失败","获取失败","404","39.96.27.110","2020年9月24日 04:23"
"847","http://its.lenovo.com.cn","联想服务与支持","Microsoft-IIS/10.0","ASP.NET","200","43.255.226.120","2020年9月24日 04:22"
"846","http://api.staff.lenovo.com.cn","Laravel","nginx","获取失败","200","40.73.37.73","2020年9月24日 04:22"
"845","http://pr1-gtbmbmm.mbgcdn.lenovo.com.cn","获取失败","获取失败","获取失败","200","182.92.74.21","2020年9月24日 04:22"
"844","http://ams.mbgstore.lenovo.com.cn","Welcome to nginx!","StoreFEC","获取失败","200","123.125.16.155","2020年9月24日 04:22"
"843","https://epackuat.lenovo.com.cn:443","获取失败","Microsoft-IIS/10.0","ASP.NET","200","146.196.114.3","2020年9月24日 04:21"
"842","http://yhq.lenovo.com.cn","获取失败","nginx/1.16.1","Jetty","404","221.122.108.125","2020年9月24日 04:21"
"841","http://msupport.lenovo.com.cn","联想服务","nginx","获取失败","200","43.255.226.57","2020年9月24日 04:21"
"840","http://download2.lenovo.com.cn","403 - 禁止访问: 访问被拒绝。","Microsoft-IIS/8.5","获取失败","403","43.255.226.177","2020年9月24日 04:20"
"839","http://services.lenovo.com.cn","联想服务与支持","Microsoft-IIS/10.0","ASP.NET","200","43.255.226.120","2020年9月24日 04:20"
"838","https://visitor.lenovo.com.cn","获取失败","Apache-Coyote/1.1","获取失败","404","118.144.76.26","2020年9月24日 04:19"
"837","https://scrm.lenovo.com.cn","SCRM营销自动化软件","获取失败","获取失败","200","59.110.145.113","2020年9月24日 04:19"
"836","https://pre.wx.lenovo.com.cn","403 Forbidden","nginx","获取失败","403","47.98.38.232","2020年9月24日 04:19"
"835","https://hi.lenovo.com.cn","联想网址导航-安全浏览、极速体验","获取失败","获取失败","200","39.96.108.188","2020年9月24日 04:18"
"834","https://ampnew.mbgstore.lenovo.com.cn","获取失败","获取失败","Next.js 7.0.3","200","123.125.16.154","2020年9月24日 04:18"
"833","http://sams.mbgstore.lenovo.com.cn","Welcome to nginx!","StoreFEC","获取失败","200","123.125.16.155","2020年9月24日 04:18"
"832","http://sdi.lenovo.com.cn","","Microsoft-IIS/8.5","ASP.NET","200","43.255.226.133","2020年9月24日 04:18"
"831","https://dianpinguat.lenovo.com.cn","联想服务点评","Microsoft-IIS/10.0","ASP.NET","200","146.196.114.7","2020年9月24日 04:17"
"830","https://amp.mbgstore.lenovo.com.cn","获取失败","获取失败","Next.js 7.0.3","200","123.125.16.154","2020年9月24日 04:17"
"829","http://legou.lenovo.com.cn","403 Forbidden","获取失败","获取失败","403","60.205.234.210","2020年9月24日 04:17"
"828","http://gamecent.vgs.lenovo.com.cn","游戏中心","获取失败","获取失败","200","47.95.178.31","2020年9月24日 04:17"
"827","http://pic.17.lenovo.com.cn","Welcome to nginx!","nginx/1.6.2","获取失败","200","43.255.226.75","2020年9月24日 04:17"
"826","http://jingyinghui.lenovo.com.cn","503 Service Temporarily Unavailable","nginx","获取失败","503","47.92.84.12","2020年9月24日 04:16"
"825","http://act.mbgstore.lenovo.com.cn","403 Forbidden","Tengine","获取失败","403","123.125.16.146","2020年9月24日 04:16"
"824","https://ebpcn.lenovo.com.cn","Logon","获取失败","获取失败","200","43.255.226.182","2020年9月24日 04:16"
"823","http://wen.lenovo.com.cn","Lenovo","Microsoft-IIS/10.0","ASP.NET","200","43.255.226.122","2020年9月24日 04:16"
"822","http://hot.lenovo.com.cn","联想服务与支持","Microsoft-IIS/10.0","ASP.NET","200","43.255.226.120","2020年9月24日 04:15"
"821","http://pscm.lenovo.com.cn","","Microsoft-IIS/7.5","ASP.NET","200","43.255.226.125","2020年9月24日 04:15"
"820","http://ppt.lenovo.com.cn","联想商务演示_商务PPT_创意PPT_动态PPT","openresty/1.9.3.1","获取失败","200","43.255.226.109","2020年9月24日 04:15"
"819","https://www-fm365.mbgcdn.lenovo.com.cn","获取失败","获取失败","Next.js 7.0.3","200","223.202.25.164","2020年9月24日 04:15"
"818","http://shipin.lenovo.com.cn","联想视频-官方出品高清流畅","openresty","获取失败","200","47.95.65.78","2020年9月24日 04:14"
"817","https://suoping.lenovo.com","获取失败","获取失败","获取失败","403","127.0.0.1","2020年9月24日 04:14"
"816","http://infosmart.lenovo.com.cn","Welcome to InfoSmart","nginx","获取失败","200","43.255.226.159","2020年9月24日 04:14"
"815","http://moddev.mbgstore.lenovo.com.cn","Moto Mods开发者官网(中国)","Tengine/2.1.1","Servlet 2.5; JBoss-5.0/JBossWeb-2.1","200","123.125.16.157","2020年9月24日 04:14"
"814","http://pr1-gtbhao.mbgcdn.lenovo.com.cn","获取失败","获取失败","获取失败","200","182.92.74.21","2020年9月24日 04:14"
"813","http://pcsdshop.lenovo.com.cn","403 Forbidden","获取失败","获取失败","403","60.205.234.210","2020年9月24日 04:13"
"812","https://privstatic.lenovo.com.cn","获取失败","Tengine","获取失败","403","117.174.128.223","2020年9月24日 04:13"
"811","http://salesclub.lenovo.com.cn","系统切换迁移公告","Microsoft-IIS/7.0","ASP.NET","200","146.196.114.97","2020年9月24日 04:13"
"810","http://edu.lenovo.com.cn","联想教育-中国职业院校可靠校企合作伙伴","nginx/1.8.0","ThinkPHP","200","43.255.224.219","2020年9月24日 04:12"
"809","http://vgs.lenovo.com.cn","Welcome to OpenResty!","openresty","获取失败","200","47.95.65.78","2020年9月24日 04:12"
"808","https://artifacts-cn.lenovo.com.cn","","Artifactory/6.13.1","获取失败","200","43.255.227.12","2020年9月24日 04:12"
"807","http://jzh.lenovo.com.cn","500 Internal Server Error","nginx","获取失败","500","39.106.201.95","2020年9月24日 04:12"
"806","http://mia.lenovo.com.cn","联想定制机","nginx/1.11.6","ThinkPHP","200","121.199.72.218","2020年9月24日 04:11"
"805","http://funweb.vgs.lenovo.com.cn","联想视频-官方出品高清流畅","获取失败","获取失败","200","47.95.178.31","2020年9月24日 04:11"
"804","http://open.mbgstore.lenovo.com.cn","联想开放平台","StoreFEC","Servlet 2.5; JBoss-5.0/JBossWeb-2.1","200","123.125.16.160","2020年9月24日 04:11"
"803","http://privilege.lenovo.com.cn","403 Forbidden","获取失败","获取失败","403","112.19.12.4","2020年9月24日 04:11"
"802","http://author-assets.lenovo.com.cn","获取失败","获取失败","获取失败","503","54.223.214.209","2020年9月24日 04:11"
"801","http://order.lenovo.com.cn","502 Bad Gateway","waf/4.23.1-3.el6","获取失败","502","117.174.176.252","2020年9月24日 04:11"
"800","http://gw.lenovo.com.cn","联想服务网关","nginx","获取失败","200","43.255.226.57","2020年9月24日 04:10"
"799","http://ting.lenovo.com.cn","联想倾听","Tengine","ThinkPHP","200","43.255.226.122","2020年9月24日 04:10"
"798","http://static.test.dd.lenovo.com.cn","获取失败","Tengine","获取失败","403","112.19.0.202","2020年9月24日 04:10"
"797","https://thinkuat.lenovo.com.cn","联想服务与支持","Microsoft-IIS/10.0","ASP.NET","200","146.196.114.7","2020年9月24日 04:09"
"796","https://cloud.lenovo.com.cn","登录 - Lenovo OpenStack","Apache","获取失败","200","114.113.233.222","2020年9月24日 04:09"
"795","http://tsonline.lenovo.com.cn","403 Forbidden","nginx","获取失败","403","43.255.226.129","2020年9月24日 04:09"
"794","http://zui.mbgstore.lenovo.com.cn","ZUI官方网站-简单 ZUI好看","nginx/1.6.3","获取失败","200","123.125.16.145","2020年9月24日 04:09"
"793","https://sdiuat.lenovo.com.cn:8042","获取失败","Microsoft-IIS/10.0","ASP.NET","200","146.196.114.3","2020年9月24日 04:09"
"792","https://boxqa.lenovo.com.cn","502 Bad Gateway","nginx","获取失败","502","139.199.135.31","2020年9月24日 04:08"
"791","http://pr3-vbmm.mbgcdn.lenovo.com.cn","404 Not Found","获取失败","获取失败","404","39.96.27.110","2020年9月24日 04:08"
"790","https://pvtruler.lenovo.com.cn","503 Service Temporarily Unavailable","获取失败","获取失败","503","39.106.233.54","2020年9月24日 04:08"
"789","http://scanmsg.lenovo.com.cn","获取失败","nginx","PHP/7.2.16","200","43.255.226.57","2020年9月24日 04:07"
"788","http://wowtest.lenovo.com.cn","服务无忧","获取失败","获取失败","200","43.255.224.90","2020年9月24日 04:07"
"787","http://clk.mbgcdn.lenovo.com.cn","获取失败","获取失败","获取失败","200","39.103.13.33","2020年9月24日 04:07"
"786","http://sdibak.lenovo.com.cn:81","获取失败","Microsoft-IIS/8.5","ASP.NET","200","43.255.226.134","2020年9月24日 04:07"
"785","http://ytsccj.lenovo.com.cn","","Tengine","获取失败","200","120.240.43.241","2020年9月24日 04:06"
"784","http://xfdlx.lenovo.com.cn","系统切换迁移公告","Microsoft-IIS/7.0","ASP.NET","200","146.196.114.97","2020年9月24日 04:06"
"783","https://server.lenovo.com.cn","获取失败","Microsoft-IIS/10.0","ASP.NET","200","43.255.226.120","2020年9月24日 04:05"
"782","https://zhi.lenovo.com.cn","获取失败","Apache","获取失败","200","115.29.212.222","2020年9月24日 04:05"
"781","https://tst-crmcn.lenovo.com.cn","SAP&amp;#x20;NetWeaver&amp;#x20;Portal","SAP NetWeaver Application Server 7.49 / AS Java 7.50","获取失败","200","43.255.226.16","2020年9月24日 04:05"
"780","http://search.lenovo.com.cn","502 Bad Gateway","nginx","获取失败","502","117.174.176.252","2020年9月24日 04:05"
"779","http://pscm6.lenovo.com.cn","","Microsoft-IIS/7.5","ASP.NET","200","43.255.226.148","2020年9月24日 04:04"
"778","http://pr1-gtbnewsmb.mbgcdn.lenovo.com.cn","获取失败","获取失败","获取失败","200","182.92.74.21","2020年9月24日 04:04"
"777","http://jzhcs.lenovo.com.cn","403 Forbidden","nginx/1.16.1","获取失败","403","39.106.164.78","2020年9月24日 04:04"
"776","https://jzhfile.lenovo.com.cn","403 Forbidden","nginx","获取失败","403","43.255.227.10","2020年9月24日 04:04"
"775","https://videoservice.lenovo.com","获取失败","获取失败","获取失败","403","127.0.0.1","2020年9月24日 03:51"
"679","https://talent.lenovo.com","获取失败","获取失败","获取失败","403","127.0.0.1","2020年9月24日 02:10"
"670","https://img1cdn.clubstatic.lenovo.com.cn","403 Forbidden","nginx/1.8.0","获取失败","403","183.220.150.152","2020年9月24日 01:38"
"658","https://open.vgs.lenovo.com","获取失败","获取失败","获取失败","403","127.0.0.1","2020年9月23日 23:07"
"656","https://static.test.wx.lenovo.com.cn","Document","Tengine","获取失败","200","112.19.0.205","2020年9月23日 22:56"
"652","http://eimage.lenovo.com.cn","获取失败","Tengine","获取失败","404","183.240.224.12","2020年9月23日 22:53"
"649","https://mdcg.lenovo.com","获取失败","获取失败","获取失败","403","127.0.0.1","2020年9月23日 22:48"
"647","http://upload.test.wx.lenovo.com.cn","获取失败","AliyunOSS","获取失败","403","47.110.177.14","2020年9月23日 22:43"
"646","http://static.test.wx.lenovo.com.cn","Document","Tengine","获取失败","200","112.19.0.205","2020年9月23日 22:43"
"645","https://survey.lenovo.com.cn","联想用户调研平台 加载中","nginx","获取失败","200","43.255.226.122","2020年9月23日 22:40"
"644","https://smartdl.lenovo.com","获取失败","获取失败","获取失败","403","127.0.0.1","2020年9月23日 22:40"
"642","http://survey.lenovo.com.cn","联想用户调研平台 加载中","nginx","获取失败","200","43.255.226.122","2020年9月23日 22:37"
"640","https://imagecdn.vgs.lenovo.com.cn","获取失败","JSP3/2.0.14","获取失败","403","223.85.23.41","2020年9月23日 22:28"
"637","https://cube.lenovo.com","联想智慧客服魔方","openresty/1.15.8.2","获取失败","200","43.255.226.110","2020年9月23日 22:14"
"636","https://dibg.lenovo.com","DIBG业务管理系统","nginx","获取失败","200","223.202.108.66","2020年9月23日 22:14"
"630","https://privacy.lenovo.com","获取失败","获取失败","获取失败","403","127.0.0.1","2020年9月23日 22:13"
"629","https://pic.shop.lenovo.com","获取失败","获取失败","获取失败","403","127.0.0.1","2020年9月23日 22:13"
"627","https://csapitest.lenovo.com.cn","获取失败","kong/0.14.1","获取失败","404","43.255.224.90","2020年9月23日 22:04"
"608","http://appdl.lenovo.com.cn","获取失败","Tengine","获取失败","403","111.6.226.171","2020年9月23日 21:27"
"606","https://appdl.lenovo.com.cn","获取失败","Tengine","获取失败","403","111.6.226.171","2020年9月23日 21:26"
"604","http://serviceshop.lenovo.com.cn","获取失败","Microsoft-IIS/10.0","ASP.NET","200","43.255.226.120","2020年9月23日 21:23"
"603","https://serviceshop.lenovo.com.cn","联想服务与支持","Microsoft-IIS/10.0","ASP.NET","200","43.255.226.120","2020年9月23日 21:23"
"601","http://serviceboss.lenovo.com.cn","获取失败","nginx","PHP/5.6.40","404","43.255.226.122","2020年9月23日 21:19"
"600","https://serviceboss.lenovo.com.cn","获取失败","nginx","PHP/5.6.40","404","43.255.226.122","2020年9月23日 21:18"
"599","https://testcube.lenovo.com.cn","魔方","openresty","获取失败","200","43.255.224.89","2020年9月23日 21:18"
"598","https://log.lenovo.com.cn","Lenovo","Microsoft-IIS/10.0","ASP.NET","200","43.255.226.122","2020年9月23日 21:18"
"597","https://play.lenovo.com","获取失败","获取失败","获取失败","403","127.0.0.1","2020年9月23日 21:15"
"596","https://thinkcloud.lenovo.com","ThinkCloud混合云","nginx/1.19.0","获取失败","200","120.133.15.5","2020年9月23日 21:14"
"594","http://gamedown.vgs.lenovo.com.cn","获取失败","AliyunOSS","获取失败","403","36.170.41.253","2020年9月23日 21:11"
"593","https://open.vgs.lenovo.com.cn","首页","获取失败","ThinkPHP","200","47.95.178.31","2020年9月23日 21:11"
"592","http://cp.vgs.lenovo.com.cn","获取失败","获取失败","获取失败","404","47.95.178.31","2020年9月23日 21:11"
"591","https://m.b2b.lenovo.com.cn","联想商用-商用笔记本\,商用台式机\,数据中心产品及解决方案\,扬天-联想商用官网","Tengine","ThinkPHP","200","117.187.146.244","2020年9月23日 21:11"
"590","http://gamecent-dev.vgs.lenovo.com.cn","游戏中心","获取失败","获取失败","200","47.95.178.31","2020年9月23日 21:11"
"589","http://open.vgs.lenovo.com.cn","首页","获取失败","ThinkPHP","200","47.95.178.31","2020年9月23日 21:10"
"588","http://vip.vgs.lenovo.com.cn","VIP中心","获取失败","获取失败","200","47.95.178.31","2020年9月23日 21:10"
"587","https://ldc-fast.lenovo.com","获取失败","获取失败","获取失败","403","127.0.0.1","2020年9月23日 21:06"
"586","https://www.lenovo.com","获取失败","Cdn Cache Server V2.0","获取失败","200","104.69.155.3","2020年9月23日 20:58"
"584","https://canada.lenovo.com","Site canadien officiel de Lenovo | Portables\, ordinateurs\, tablettes et centre de données | Lenovo Canada","nginx","获取失败","200","104.84.194.49","2020年9月23日 20:58"
"582","https://rental.lenovo.com","获取失败","获取失败","获取失败","403","127.0.0.1","2020年9月23日 20:58"
"581","https://events.lenovo.com_","获取失败","获取失败","获取失败","403","127.0.0.1","2020年9月23日 20:58"
"580","https://www.futurecenter.lenovo.com","联想未来中心","nginx","获取失败","200","43.255.226.202","2020年9月23日 20:58"
"579","https://events.lenovo.com_null","获取失败","获取失败","获取失败","403","127.0.0.1","2020年9月23日 20:58"
"578","https://www.futurecenter.lenovo.com_","获取失败","获取失败","获取失败","403","127.0.0.1","2020年9月23日 20:58"
"577","https://news.lenovo.com","Welcome to Lenovo StoryHub | Lenovo StoryHub","Apache","获取失败","200","107.20.186.84","2020年9月23日 20:58"
"574","https://dcg.lenovo.com","获取失败","获取失败","获取失败","403","127.0.0.1","2020年9月23日 20:58"
"573","https://events.lenovo.com","一起联想，锐意智变 | 联想一站式智能化变革市场活动官方网站","nginx","Express","200","120.237.254.128","2020年9月23日 20:58"
"571","https://www.futurecenter.lenovo.com_null","获取失败","获取失败","获取失败","403","127.0.0.1","2020年9月23日 20:58"
"570","http://dibg.lenovo.com.cn","物联网_人工智能_数字化转型咨询_行业智能_联想数据智能","openresty/1.13.6.1","获取失败","200","223.202.108.76","2020年9月23日 20:55"
